,trial,endpoint_theta,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,previous_uncertainty
0,0,0.2544115136015108,0.0,0.0,0.0,0.0,no_uncertainty
1,1,0.3137745914094836,0.0,0.0,0.0,0.0,no_uncertainty
2,2,0.14838000575463184,0.0,0.0,0.0,0.0,no_uncertainty
3,3,0.24914656487877096,0.0,0.0,0.0,0.0,no_uncertainty
4,4,0.24343156725774406,0.0,0.0,0.0,0.0,no_uncertainty
5,5,0.4491399362279793,0.0,0.0,0.0,0.0,no_uncertainty
6,6,0.1330268489321469,0.0,0.0,0.0,0.0,no_uncertainty
7,7,0.8170085884392648,0.0,0.0,0.0,0.0,no_uncertainty
8,8,0.27483873540319337,0.0,0.0,0.0,0.0,no_uncertainty
9,9,0.40708918915271397,0.0,0.0,0.0,0.0,no_uncertainty
10,10,0.5325837688230308,0.0,0.0,0.0,0.0,no_uncertainty
11,11,1.1711386724804527,0.0,0.0,0.0,0.0,no_uncertainty
12,12,0.5947610505305647,0.0,0.0,0.0,0.0,no_uncertainty
13,13,0.3731385366561284,0.0,0.0,0.0,0.0,no_uncertainty
14,14,0.4745571164120008,0.0,0.0,0.0,0.0,no_uncertainty
15,15,0.012274510969476182,0.0,0.0,0.0,0.0,no_uncertainty
16,16,0.5348192094756143,0.0,0.0,0.0,0.0,no_uncertainty
17,17,0.2752604189743266,0.0,0.0,0.0,0.0,no_uncertainty
18,18,0.2149032413043983,0.0,0.0,0.0,0.0,no_uncertainty
19,19,0.2794592854508977,0.0,0.0,0.0,0.0,no_uncertainty
20,20,0.7254616939750633,0.0,0.0,1.0,0.0,no_uncertainty
21,21,1.3637646140795,0.0,0.0,1.0,0.0,high_uncertainty
22,22,1.9198141273851945,0.0,0.0,1.0,0.0,high_uncertainty
23,23,1.9728482134159009,0.0,0.0,0.0,1.0,high_uncertainty
24,24,2.015770357971661,1.0,0.0,0.0,0.0,unlimited_uncertainty
25,25,2.269334777933821,0.0,1.0,0.0,0.0,no_uncertainty
26,26,2.9276703016456764,0.0,1.0,0.0,0.0,low_uncertainty
27,27,3.561938401077171,1.0,0.0,0.0,0.0,low_uncertainty
28,28,6.162827075250533,0.0,0.0,1.0,0.0,no_uncertainty
29,29,4.8116870917241386,0.0,0.0,1.0,0.0,high_uncertainty
30,30,5.291058543937481,0.0,0.0,1.0,0.0,high_uncertainty
31,31,6.24014537227373,0.0,0.0,1.0,0.0,high_uncertainty
32,32,6.111583714912555,1.0,0.0,0.0,0.0,high_uncertainty
33,33,6.0948441557988104,0.0,0.0,1.0,0.0,no_uncertainty
34,34,5.526884879511925,1.0,0.0,0.0,0.0,high_uncertainty
35,35,7.396070639272068,0.0,0.0,1.0,0.0,no_uncertainty
36,36,7.296756156690762,1.0,0.0,0.0,0.0,high_uncertainty
37,37,6.944823189517095,0.0,0.0,1.0,0.0,no_uncertainty
38,38,5.932742206349914,1.0,0.0,0.0,0.0,high_uncertainty
39,39,5.15578048014801,0.0,0.0,1.0,0.0,no_uncertainty
40,40,4.846801109371725,0.0,0.0,0.0,1.0,high_uncertainty
41,41,5.093409295075176,1.0,0.0,0.0,0.0,unlimited_uncertainty
42,42,6.617010816841955,0.0,1.0,0.0,0.0,no_uncertainty
43,43,6.926279289953342,0.0,0.0,0.0,1.0,low_uncertainty
44,44,5.578642059372342,0.0,1.0,0.0,0.0,unlimited_uncertainty
45,45,6.043757405263406,1.0,0.0,0.0,0.0,low_uncertainty
46,46,7.322481259080135,0.0,1.0,0.0,0.0,no_uncertainty
47,47,7.4151690379957245,0.0,1.0,0.0,0.0,low_uncertainty
48,48,5.999180010445613,0.0,0.0,0.0,1.0,low_uncertainty
49,49,6.96673894630662,1.0,0.0,0.0,0.0,unlimited_uncertainty
50,50,5.3787507487,1.0,0.0,0.0,0.0,no_uncertainty
51,51,7.719617676973996,0.0,0.0,1.0,0.0,no_uncertainty
52,52,7.121513264088534,0.0,1.0,0.0,0.0,high_uncertainty
53,53,4.9827114408175674,0.0,0.0,1.0,0.0,low_uncertainty
54,54,6.412426378275455,1.0,0.0,0.0,0.0,high_uncertainty
55,55,6.009575866646728,0.0,0.0,0.0,1.0,no_uncertainty
56,56,5.451464285864134,0.0,0.0,0.0,1.0,unlimited_uncertainty
57,57,3.5712156510983135,0.0,1.0,0.0,0.0,unlimited_uncertainty
58,58,5.742939481484001,0.0,1.0,0.0,0.0,low_uncertainty
59,59,4.7579286352585655,0.0,0.0,1.0,0.0,low_uncertainty
60,60,6.970611596308913,0.0,0.0,0.0,1.0,high_uncertainty
61,61,4.7522436728067134,0.0,0.0,1.0,0.0,unlimited_uncertainty
62,62,6.494801478886217,0.0,1.0,0.0,0.0,high_uncertainty
63,63,6.379563468487817,0.0,0.0,1.0,0.0,low_uncertainty
64,64,7.768180396882215,1.0,0.0,0.0,0.0,high_uncertainty
65,65,9.367985063427795,0.0,0.0,0.0,1.0,no_uncertainty
66,66,6.915196187746446,1.0,0.0,0.0,0.0,unlimited_uncertainty
67,67,6.371154243563652,0.0,1.0,0.0,0.0,no_uncertainty
68,68,7.20517908276382,1.0,0.0,0.0,0.0,low_uncertainty
69,69,5.1603853733244875,1.0,0.0,0.0,0.0,no_uncertainty
70,70,8.427938012176838,0.0,1.0,0.0,0.0,no_uncertainty
71,71,5.21577473939962,0.0,0.0,0.0,1.0,low_uncertainty
72,72,5.48090871130313,0.0,0.0,1.0,0.0,unlimited_uncertainty
73,73,6.0109279971783565,0.0,0.0,0.0,1.0,high_uncertainty
74,74,4.791862366480871,1.0,0.0,0.0,0.0,unlimited_uncertainty
75,75,5.248528875811374,0.0,0.0,1.0,0.0,no_uncertainty
76,76,6.588639126633794,0.0,1.0,0.0,0.0,high_uncertainty
77,77,5.400145373060212,1.0,0.0,0.0,0.0,low_uncertainty
78,78,6.3619014597808246,0.0,1.0,0.0,0.0,no_uncertainty
79,79,6.669061010553278,0.0,0.0,0.0,1.0,low_uncertainty
80,80,6.310061632683372,0.0,0.0,1.0,0.0,unlimited_uncertainty
81,81,5.96120797712932,0.0,1.0,0.0,0.0,high_uncertainty
82,82,7.2698347955970775,1.0,0.0,0.0,0.0,low_uncertainty
83,83,7.221632094286207,0.0,0.0,0.0,1.0,no_uncertainty
84,84,8.07031613343284,0.0,0.0,1.0,0.0,unlimited_uncertainty
85,85,7.235743929433568,0.0,0.0,1.0,0.0,high_uncertainty
86,86,4.488399830644454,1.0,0.0,0.0,0.0,high_uncertainty
87,87,6.0444926307459355,0.0,0.0,0.0,1.0,no_uncertainty
88,88,4.9903098889886905,0.0,0.0,1.0,0.0,unlimited_uncertainty
89,89,6.157933684651738,0.0,1.0,0.0,0.0,high_uncertainty
90,90,5.794141272558591,0.0,1.0,0.0,0.0,low_uncertainty
91,91,9.432999597132678,1.0,0.0,0.0,0.0,low_uncertainty
92,92,9.477327371323213,0.0,0.0,0.0,1.0,no_uncertainty
93,93,7.760283875369453,0.0,0.0,0.0,1.0,unlimited_uncertainty
94,94,4.8022538794471785,0.0,0.0,0.0,1.0,unlimited_uncertainty
95,95,6.352819423840813,0.0,1.0,0.0,0.0,unlimited_uncertainty
96,96,6.30844784335892,0.0,0.0,0.0,1.0,low_uncertainty
97,97,6.137386312354181,0.0,0.0,0.0,1.0,unlimited_uncertainty
98,98,5.886867234309122,0.0,1.0,0.0,0.0,unlimited_uncertainty
99,99,6.986826611049921,1.0,0.0,0.0,0.0,low_uncertainty
100,100,8.293318177587423,0.0,0.0,0.0,1.0,no_uncertainty
101,101,7.133338917485972,1.0,0.0,0.0,0.0,unlimited_uncertainty
102,102,4.707858624846168,0.0,1.0,0.0,0.0,no_uncertainty
103,103,6.334819787317457,0.0,0.0,0.0,1.0,low_uncertainty
104,104,5.555200069608375,1.0,0.0,0.0,0.0,unlimited_uncertainty
105,105,7.584315395859605,0.0,0.0,1.0,0.0,no_uncertainty
106,106,7.439157476968745,1.0,0.0,0.0,0.0,high_uncertainty
107,107,9.187972740709412,0.0,0.0,0.0,1.0,no_uncertainty
108,108,7.645852360359655,0.0,1.0,0.0,0.0,unlimited_uncertainty
109,109,8.549257161272294,0.0,1.0,0.0,0.0,low_uncertainty
110,110,7.767187330092483,0.0,1.0,0.0,0.0,low_uncertainty
111,111,7.724409622020474,0.0,0.0,1.0,0.0,low_uncertainty
112,112,8.094932633406842,0.0,1.0,0.0,0.0,high_uncertainty
113,113,6.879525437202673,0.0,0.0,1.0,0.0,low_uncertainty
114,114,8.400938708988079,0.0,1.0,0.0,0.0,high_uncertainty
115,115,8.39512671964657,0.0,1.0,0.0,0.0,low_uncertainty
116,116,9.123903574031715,0.0,1.0,0.0,0.0,low_uncertainty
117,117,7.17655495490564,0.0,0.0,1.0,0.0,low_uncertainty
118,118,8.564373170151129,0.0,0.0,0.0,1.0,high_uncertainty
119,119,7.269507853862933,0.0,0.0,1.0,0.0,unlimited_uncertainty
120,120,6.991727412840078,0.0,0.0,1.0,0.0,high_uncertainty
121,121,7.571555574310452,0.0,0.0,0.0,1.0,high_uncertainty
122,122,5.003642346507718,0.0,0.0,1.0,0.0,unlimited_uncertainty
123,123,6.370544737763424,1.0,0.0,0.0,0.0,high_uncertainty
124,124,8.215873996707458,1.0,0.0,0.0,0.0,no_uncertainty
125,125,8.366004740719632,1.0,0.0,0.0,0.0,no_uncertainty
126,126,9.62031754462086,0.0,0.0,0.0,1.0,no_uncertainty
127,127,7.547844518339403,1.0,0.0,0.0,0.0,unlimited_uncertainty
128,128,7.985643802015261,0.0,1.0,0.0,0.0,no_uncertainty
129,129,9.136692578070083,0.0,0.0,0.0,1.0,low_uncertainty
130,130,7.730852035350907,0.0,0.0,0.0,1.0,unlimited_uncertainty
131,131,6.023361729654468,1.0,0.0,0.0,0.0,unlimited_uncertainty
132,132,6.584540379955683,0.0,0.0,1.0,0.0,no_uncertainty
133,133,6.745769402501736,1.0,0.0,0.0,0.0,high_uncertainty
134,134,8.04364842014796,0.0,0.0,1.0,0.0,no_uncertainty
135,135,8.218958218762495,0.0,1.0,0.0,0.0,high_uncertainty
136,136,7.74191317138569,1.0,0.0,0.0,0.0,low_uncertainty
137,137,5.325757122606291,0.0,0.0,0.0,1.0,no_uncertainty
138,138,6.537967164016067,0.0,0.0,1.0,0.0,unlimited_uncertainty
139,139,5.582936853997239,0.0,0.0,1.0,0.0,high_uncertainty
140,140,5.581081062328835,0.0,0.0,0.0,1.0,high_uncertainty
141,141,5.372638449880043,0.0,0.0,0.0,1.0,unlimited_uncertainty
142,142,5.369929536200303,0.0,1.0,0.0,0.0,unlimited_uncertainty
143,143,3.897226550756656,0.0,0.0,1.0,0.0,low_uncertainty
144,144,4.1763438961332895,0.0,0.0,1.0,0.0,high_uncertainty
145,145,7.418531314951821,0.0,0.0,0.0,1.0,high_uncertainty
146,146,5.650651444999852,0.0,0.0,0.0,1.0,unlimited_uncertainty
147,147,5.80631325029816,0.0,1.0,0.0,0.0,unlimited_uncertainty
148,148,5.568315275983096,1.0,0.0,0.0,0.0,low_uncertainty
149,149,9.405413656979633,1.0,0.0,0.0,0.0,no_uncertainty
150,150,6.755412091183985,0.0,0.0,0.0,1.0,no_uncertainty
151,151,6.824079411850235,0.0,0.0,1.0,0.0,unlimited_uncertainty
152,152,8.459745227087396,0.0,1.0,0.0,0.0,high_uncertainty
153,153,7.634195591068334,0.0,1.0,0.0,0.0,low_uncertainty
154,154,8.358773028119302,1.0,0.0,0.0,0.0,low_uncertainty
155,155,7.391160516432592,0.0,1.0,0.0,0.0,no_uncertainty
156,156,7.656083485000352,1.0,0.0,0.0,0.0,low_uncertainty
157,157,7.492232378985392,1.0,0.0,0.0,0.0,no_uncertainty
158,158,8.847640423376745,1.0,0.0,0.0,0.0,no_uncertainty
159,159,7.375459840772692,0.0,0.0,0.0,1.0,no_uncertainty
160,160,5.645548771452354,0.0,1.0,0.0,0.0,unlimited_uncertainty
161,161,7.000914800788365,0.0,0.0,1.0,0.0,low_uncertainty
162,162,5.841029503657069,0.0,0.0,0.0,1.0,high_uncertainty
163,163,4.826387936782325,1.0,0.0,0.0,0.0,unlimited_uncertainty
164,164,8.428172014928535,0.0,0.0,1.0,0.0,no_uncertainty
165,165,7.639974318776979,0.0,0.0,1.0,0.0,high_uncertainty
166,166,7.678840511105264,0.0,0.0,0.0,1.0,high_uncertainty
167,167,5.545593205802021,1.0,0.0,0.0,0.0,unlimited_uncertainty
168,168,9.591572615991197,0.0,1.0,0.0,0.0,no_uncertainty
169,169,5.674685472136275,0.0,0.0,1.0,0.0,low_uncertainty
170,170,8.092585336388112,1.0,0.0,0.0,0.0,high_uncertainty
171,171,7.099714704189779,0.0,1.0,0.0,0.0,no_uncertainty
172,172,7.254478973322293,1.0,0.0,0.0,0.0,low_uncertainty
173,173,7.063281183999848,0.0,1.0,0.0,0.0,no_uncertainty
174,174,6.777259713334729,0.0,1.0,0.0,0.0,low_uncertainty
175,175,7.096145562853394,1.0,0.0,0.0,0.0,low_uncertainty
176,176,9.552567648586333,0.0,0.0,0.0,1.0,no_uncertainty
177,177,7.290205130341718,0.0,0.0,0.0,1.0,unlimited_uncertainty
178,178,7.067246162404331,0.0,1.0,0.0,0.0,unlimited_uncertainty
179,179,6.794674041574567,0.0,0.0,1.0,0.0,low_uncertainty
180,180,8.084428490619601,0.0,1.0,0.0,0.0,high_uncertainty
181,181,8.255299585336829,0.0,1.0,0.0,0.0,low_uncertainty
182,182,7.604385132518175,0.0,0.0,0.0,1.0,low_uncertainty
183,183,8.306752507138143,0.0,0.0,0.0,1.0,unlimited_uncertainty
184,184,5.743401495887625,0.0,0.0,0.0,1.0,unlimited_uncertainty
185,185,6.462798917769462,0.0,0.0,0.0,1.0,unlimited_uncertainty
186,186,6.213739472857881,0.0,0.0,0.0,1.0,unlimited_uncertainty
187,187,6.490371929377957,0.0,0.0,1.0,0.0,unlimited_uncertainty
188,188,7.988512095023367,1.0,0.0,0.0,0.0,high_uncertainty
189,189,8.255057565377939,1.0,0.0,0.0,0.0,no_uncertainty
190,190,9.089654356768023,0.0,0.0,1.0,0.0,no_uncertainty
191,191,6.380464118918056,0.0,1.0,0.0,0.0,high_uncertainty
192,192,9.85345355428494,0.0,0.0,1.0,0.0,low_uncertainty
193,193,7.396337788073211,0.0,0.0,0.0,1.0,high_uncertainty
194,194,8.268315423852812,0.0,1.0,0.0,0.0,unlimited_uncertainty
195,195,8.170500463587913,0.0,0.0,1.0,0.0,low_uncertainty
196,196,8.464615669667637,0.0,0.0,0.0,1.0,high_uncertainty
197,197,7.801685657054776,0.0,1.0,0.0,0.0,unlimited_uncertainty
198,198,5.467443684835729,0.0,0.0,0.0,1.0,low_uncertainty
199,199,6.002626499937094,1.0,0.0,0.0,0.0,unlimited_uncertainty
200,200,7.334025037956948,0.0,0.0,0.0,0.0,no_uncertainty
201,201,5.282996085035961,0.0,0.0,0.0,0.0,unlimited_uncertainty
202,202,4.205228221811794,0.0,0.0,0.0,0.0,unlimited_uncertainty
203,203,3.179076381747649,0.0,0.0,0.0,0.0,unlimited_uncertainty
204,204,4.855175273779238,0.0,0.0,0.0,0.0,unlimited_uncertainty
205,205,4.176962113412486,0.0,0.0,0.0,0.0,unlimited_uncertainty
206,206,4.569811503284214,0.0,0.0,0.0,0.0,unlimited_uncertainty
207,207,4.245905503912766,0.0,0.0,0.0,0.0,unlimited_uncertainty
208,208,5.128405862646545,0.0,0.0,0.0,0.0,unlimited_uncertainty
209,209,3.5059682596540966,0.0,0.0,0.0,0.0,unlimited_uncertainty
210,210,3.040188491376398,0.0,0.0,0.0,0.0,unlimited_uncertainty
211,211,1.8207747156508418,0.0,0.0,0.0,0.0,unlimited_uncertainty
212,212,1.7885846163737824,0.0,0.0,0.0,0.0,unlimited_uncertainty
213,213,1.6452744655945821,0.0,0.0,0.0,0.0,unlimited_uncertainty
214,214,2.002999094364199,0.0,0.0,0.0,0.0,unlimited_uncertainty
215,215,2.383122904142411,0.0,0.0,0.0,0.0,unlimited_uncertainty
216,216,2.347766082309519,0.0,0.0,0.0,0.0,unlimited_uncertainty
217,217,1.554035159865947,0.0,0.0,0.0,0.0,unlimited_uncertainty
218,218,1.7251870307007948,0.0,0.0,0.0,0.0,unlimited_uncertainty
219,219,1.4066834235228072,0.0,0.0,0.0,0.0,unlimited_uncertainty
220,220,1.7997998482593687,0.0,0.0,0.0,0.0,unlimited_uncertainty
221,221,0.8926396663992335,0.0,0.0,0.0,0.0,unlimited_uncertainty
222,222,0.6754742971372707,0.0,0.0,0.0,0.0,unlimited_uncertainty
223,223,0.5060655331602675,0.0,0.0,0.0,0.0,unlimited_uncertainty
224,224,1.3846801164583837,0.0,0.0,0.0,0.0,unlimited_uncertainty
225,225,1.2569873674399474,0.0,0.0,0.0,0.0,unlimited_uncertainty
226,226,0.6766409655309928,0.0,0.0,0.0,0.0,unlimited_uncertainty
227,227,1.504090697413801,0.0,0.0,0.0,0.0,unlimited_uncertainty
228,228,0.5662829523396908,0.0,0.0,0.0,0.0,unlimited_uncertainty
229,229,1.3773827146204667,0.0,0.0,0.0,0.0,unlimited_uncertainty
230,230,1.3234688977523348,0.0,0.0,0.0,0.0,unlimited_uncertainty
231,231,0.542006715721044,0.0,0.0,0.0,0.0,unlimited_uncertainty
232,232,1.014474776512131,0.0,0.0,0.0,0.0,unlimited_uncertainty
233,233,1.1770781494361842,0.0,0.0,0.0,0.0,unlimited_uncertainty
234,234,1.800021948112203,0.0,0.0,0.0,0.0,unlimited_uncertainty
235,235,1.1492803167049033,0.0,0.0,0.0,0.0,unlimited_uncertainty
236,236,0.8660262432664467,0.0,0.0,0.0,0.0,unlimited_uncertainty
237,237,1.8515023800428025,0.0,0.0,0.0,0.0,unlimited_uncertainty
238,238,1.0312712685314551,0.0,0.0,0.0,0.0,unlimited_uncertainty
239,239,0.25493791829504175,0.0,0.0,0.0,0.0,unlimited_uncertainty
240,240,1.1299631613776455,0.0,0.0,0.0,0.0,unlimited_uncertainty
241,241,0.5845073145434583,0.0,0.0,0.0,0.0,unlimited_uncertainty
242,242,0.609571092650981,0.0,0.0,0.0,0.0,unlimited_uncertainty
243,243,0.18058551417163926,0.0,0.0,0.0,0.0,unlimited_uncertainty
244,244,1.1589422738176864,0.0,0.0,0.0,0.0,unlimited_uncertainty
245,245,0.16494101609748668,0.0,0.0,0.0,0.0,unlimited_uncertainty
246,246,0.41353519072353606,0.0,0.0,0.0,0.0,unlimited_uncertainty
247,247,1.113531286846765,0.0,0.0,0.0,0.0,unlimited_uncertainty
248,248,1.238500581044292,0.0,0.0,0.0,0.0,unlimited_uncertainty
249,249,0.007416805159891737,0.0,0.0,0.0,0.0,unlimited_uncertainty
250,250,1.0878881048660531,0.0,0.0,0.0,0.0,unlimited_uncertainty
251,251,0.8261113027813565,0.0,0.0,0.0,0.0,unlimited_uncertainty
252,252,0.5349905960966055,0.0,0.0,0.0,0.0,unlimited_uncertainty
253,253,1.0457600353797858,0.0,0.0,0.0,0.0,unlimited_uncertainty
254,254,0.7548323901758636,0.0,0.0,0.0,0.0,unlimited_uncertainty
255,255,0.2839145533493195,0.0,0.0,0.0,0.0,unlimited_uncertainty
256,256,1.3627658289106535,0.0,0.0,0.0,0.0,unlimited_uncertainty
257,257,1.449078490277543,0.0,0.0,0.0,0.0,unlimited_uncertainty
258,258,0.800919006324122,0.0,0.0,0.0,0.0,unlimited_uncertainty
259,259,0.35057981529472215,0.0,0.0,0.0,0.0,unlimited_uncertainty
260,260,0.21851548130717902,0.0,0.0,0.0,0.0,unlimited_uncertainty
261,261,0.2617157166772017,0.0,0.0,0.0,0.0,unlimited_uncertainty
262,262,0.3327873274926958,0.0,0.0,0.0,0.0,unlimited_uncertainty
263,263,0.45166366807404756,0.0,0.0,0.0,0.0,unlimited_uncertainty
264,264,0.34516745330333265,0.0,0.0,0.0,0.0,unlimited_uncertainty
265,265,0.6241228725645271,0.0,0.0,0.0,0.0,unlimited_uncertainty
266,266,0.0247673383955771,0.0,0.0,0.0,0.0,unlimited_uncertainty
267,267,0.005888819888056673,0.0,0.0,0.0,0.0,unlimited_uncertainty
268,268,0.8705333372440691,0.0,0.0,0.0,0.0,unlimited_uncertainty
269,269,0.10425171673654177,0.0,0.0,0.0,0.0,unlimited_uncertainty
270,270,0.06960374114071044,0.0,0.0,0.0,0.0,unlimited_uncertainty
271,271,0.4445096994272717,0.0,0.0,0.0,0.0,unlimited_uncertainty
272,272,0.3284342717519735,0.0,0.0,0.0,0.0,unlimited_uncertainty
273,273,0.32808947004321,0.0,0.0,0.0,0.0,unlimited_uncertainty
274,274,1.4941454990146923,0.0,0.0,0.0,0.0,unlimited_uncertainty
275,275,0.16703018582711593,0.0,0.0,0.0,0.0,unlimited_uncertainty
276,276,0.49275116459479307,0.0,0.0,0.0,0.0,unlimited_uncertainty
277,277,0.00987251307080328,0.0,0.0,0.0,0.0,unlimited_uncertainty
278,278,0.04978044375317836,0.0,0.0,0.0,0.0,unlimited_uncertainty
279,279,0.3682674799544401,0.0,0.0,0.0,0.0,unlimited_uncertainty
280,280,1.398291290277598,0.0,0.0,0.0,0.0,unlimited_uncertainty
281,281,0.3018047997821327,0.0,0.0,0.0,0.0,unlimited_uncertainty
282,282,0.33390956709776276,0.0,0.0,0.0,0.0,unlimited_uncertainty
283,283,0.37883159454511883,0.0,0.0,0.0,0.0,unlimited_uncertainty
284,284,0.8418286035923757,0.0,0.0,0.0,0.0,unlimited_uncertainty
285,285,0.18360311793605888,0.0,0.0,0.0,0.0,unlimited_uncertainty
286,286,0.824475080093265,0.0,0.0,0.0,0.0,unlimited_uncertainty
287,287,0.009058293936391237,0.0,0.0,0.0,0.0,unlimited_uncertainty
288,288,0.8713840251627971,0.0,0.0,0.0,0.0,unlimited_uncertainty
289,289,0.6036737628355837,0.0,0.0,0.0,0.0,unlimited_uncertainty
290,290,0.34858550591229687,0.0,0.0,0.0,0.0,unlimited_uncertainty
291,291,0.9786204064056818,0.0,0.0,0.0,0.0,unlimited_uncertainty
292,292,0.186071329885948,0.0,0.0,0.0,0.0,unlimited_uncertainty
293,293,0.7395671815386464,0.0,0.0,0.0,0.0,unlimited_uncertainty
294,294,0.15317899886220232,0.0,0.0,0.0,0.0,unlimited_uncertainty
295,295,1.3709940020917912,0.0,0.0,0.0,0.0,unlimited_uncertainty
296,296,0.4615908876451442,0.0,0.0,0.0,0.0,unlimited_uncertainty
297,297,0.9196267944508634,0.0,0.0,0.0,0.0,unlimited_uncertainty
298,298,0.11432845653446577,0.0,0.0,0.0,0.0,unlimited_uncertainty
299,299,0.07144186012112641,0.0,0.0,0.0,0.0,unlimited_uncertainty
